feature_pretty,mean_normalized_importance,panel,group
H-bond atoms,0.036168646592124536,J,atom-node
halogen/F atoms,0.07632412380356013,J,atom-node
charged atoms,0.15128223493602486,J,atom-node
aromatic atoms,0.16056989372032215,J,atom-node
carbon atoms,0.2807840325827571,J,atom-node
hetero atoms,0.29487106836521093,J,atom-node
H-bond compatible pairs,0.0030248398138061332,K,cross-ion
aromatic-contact pairs,0.007878246932714033,K,cross-ion
charge-complementary pairs,0.04611511308194342,K,cross-ion
charge-magnitude pairs,0.04719114983360204,K,cross-ion
other attended pairs,0.8957906503379341,K,cross-ion
Ani: H-bond donor,0.021522402504741082,L,functional-group
Ani: negative atom fraction,0.022228441679719647,L,functional-group
Cat: imidazolium like,0.023352991631003517,L,functional-group
Ani: charged atom fraction,0.028745591519562033,L,functional-group
Cat: positive atom fraction,0.030691241807040952,L,functional-group
Cat: charged atom fraction,0.03487691195526902,L,functional-group
Ani: H-bond acceptor,0.04715339387653431,L,functional-group
Cat: hetero aromatic atom,0.04956142227632588,L,functional-group
Pair: alkyl chain length difference,0.07258255790152231,L,functional-group
Cat: longest aliphatic carbon chain,0.08945169283033805,L,functional-group
Pair: alkyl chain length sum,0.13668081101279103,L,functional-group
Cat: aromatic atom fraction,0.19512346253081195,L,functional-group
